Country,Rate
Afghanistan,68
Albania,56
Algeria,67
Andorra,89
Angola,26
Antigua and Barbuda,73
Argentina,42
Armenia,70
Australia,62
Austria,89
Azerbaijan,74
Bahamas,27
Bahrain,90
Bangladesh,55
Barbados,87
Belarus,89
Belgium,26
Belize,54
Benin,54
Bhutan,92
Bolivia,30
Bosnia and Herzegovina,46
Botswana,7
Brazil,74
Brunei,97
Bulgaria,51
Burkina Faso,84
Burma,82
Burundi,77
Cabo Verde,60
Cambodia,63
Cameroon,87
Canada,0
Central African Republic,32
Chad,88
Chile,92
China,91
Colombia,49
Comoros,95
Congo (Brazzaville),24
Congo (Kinshasa),60
Costa Rica,24
Cote d'Ivoire,63
Croatia,78
Cuba,94
Cyprus,80
Czechia,63
Denmark,91
Djibouti,98
Dominica,100
Dominican Republic,45
Ecuador,43
Egypt,35
El Salvador,53
Equatorial Guinea,27
Eritrea,71
Estonia,94
Eswatini,43
Ethiopia,45
Fiji,66
Finland,93
France,37
Gabon,63
Gambia,21
Georgia,82
Germany,92
Ghana,89
Greece,32
Greenland,100
Grenada,100
Guatemala,69
Guinea,88
Guinea-Bissau,41
Guyana,50
Haiti,59
Holy See,100
Honduras,12
Hungary,75
Iceland,98
India,63
Indonesia,56
Iran,87
Iraq,68
Ireland,90
Israel,44
Italy,80
Jamaica,84
Japan,72
Jordan,89
Kazakhstan	,63
Kenya,45
Kosovo,54
Kuwait,84
Kyrgyzstan,59
Laos,95
Latvia,86
Lebanon,46
Lesotho,16
Liberia,54
Libya,20
Liechtenstein,94
Lithuania,80
Luxembourg,75
Madagascar,62
Malawi,39
Malaysia,96
Maldives,76
Mali,76
Malta,96
Mauritania,69
Mauritius,96
Mexico,75
Moldova,68
Monaco,89
Mongolia,75
Montenegro,24
Morocco,82
Mozambique,0
Namibia,4
Nepal,70
Netherlands,0
New Zealand,97
Nicaragua,72
Niger,91
Nigeria,42
North Macedonia,53
Norway,95
Oman,72
Pakistan,86
Panama,56
Papua New Guinea,28
Paraguay,61
Peru,69
Philippines,32
Poland,76
Portugal,70
Qatar,96
Romania,58
Russia,74
Rwanda,51
Saint Kitts and Nevis,88
Saint Lucia,91
Saint Vincent and the Grenadines,75
San Marino,93
Sao Tome and Principe,76
Saudi Arabia,82
Senegal,66
Serbia,0
Seychelles,34
Sierra Leone,73
Singapore,90
Slovakia,73
Slovenia,81
Somalia,47
South Africa,60
South Korea,91
South Sudan,52
Spain,55
Sri Lanka,75
Sudan,51
Suriname,61
Sweden,0
Switzerland,88
Syria,0
Taiwan*,96
Tajikistan,82
Tanzania,35
Thailand,94
Timor-Leste,0
Togo,68
Trinidad and Tobago,87
Tunisia,78
Turkey,92
US,30
Uganda,89
Ukraine,55
United Arab Emirates,88
United Kingdom,0
Uruguay,80
Uzbekistan,54
Venezuela,58
Vietnam,87
West Bank and Gaza,31
Western Sahara,80
Yemen,46
Zambia,45
Zimbabwe,21
